cid,place_id
18210656660081940598,ChIJxxYelNc82jERdhjJhr8_ufw
16480804535335058946,ChIJN5JpUw0Z2jERAv5K5WeUt-Q
14559670230774566522,ChIJxQb7Ulo92jERes4lOO9WDso
4965975796990249717,ChIJYzpZ2R0X2jER9YrKLq2w6kQ
6895385838711929217,ChIJO_QTQHYY2jERgfmuEeNUsV8
475800176209997739,ChIJa0jwsAAW2jERq68QR71hmgY
6653061941718214604,ChIJn7YYbnIZ2jERzOfIKJZsVFw
8653772821917531583,ChIJ3axoZ2EZ2jERv_1SKYhgGHg
4726285401114284914,ChIJOU6y-HkZ2jERchOICIgjl0E
4801003248874413580,ChIJgbyEk9c82jERDN6nngSXoEI
13033710177272363177,ChIJr0XbVMMS2jERqXi2xVkK4bQ
2460239977246597580,ChIJdcd9SyQX2jERzKH_cTmHJCI
16785385770869267497,ChIJFd6PUmoa2jERKRyPAm2r8eg
3476495173166394610,ChIJ97RvbRoW2jER8mzx0_D9PjA
7461006111877455381,ChIJj7012tk82jERFV55VYfRimc
2069232915224582627,ChIJ_6Qa-RcU2jER49mBhV9ktxw
14356593020875727532,ChIJ9YDv6zo92jERrGImukndPMc
17339673982684557910,ChIJqRYh4ZEa2jERVvL-Ip7lovA
3942961913985049434,ChIJZZZoqxkQ2jERWiP5Vfg2uDY
813435430117428517,ChIJGf5N_AwZ2jERJc3dwzbnSQs
8586593020536851655,ChIJ_f7mI6AZ2jERx4zyw9u0KXc
4274699807330002291,ChIJ66_bzLgZ2jERc-VVkdPIUjs
11090416298265053641,ChIJ42jrTicY2jERyYlKHd0S6Zk
5588638256250344052,ChIJGY62kNwP2jERdNL1WeLUjk0
9380184723431441358,ChIJiQTGnrQi2jERzkOtv04cLYI
4028396644946995746,ChIJLULEgqgZ2jERIupwvGe95zc
5206373789764700134,ChIJrz3ECo0Z2jER5kfUkmDBQEg
754948761448451777,ChIJHTeC7DUQ2jERwY7BDeYdego
12278513050341671004,ChIJN-3hosgZ2jERXACdn5AKZqo
6293871363125574855,ChIJHcQt85EZ2jERx3wajahSWFc
6031245288744555017,ChIJSwxxza4e2jERCRLenKJJs1M
7362278059393152969,ChIJlWonsFQ92jERyffHU-MQLGY
3418025183192593089,ChIJyRIV6Y0Z2jERwbKIbctDby8
9977377807902411804,ChIJsQvJ8KgZ2jERHIzj_UDEdoo
17806285642590256418,ChIJxaEs6xE92jERIv26P3OiHPc
